2026-08-26 09:11:04.968 [info] [McpGatewayService] Initialized
2026-08-26 09:17:40.773 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-08-26 09:34:08.768 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-08-26 10:49:54.069 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-08-26 11:28:22.871 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-08-26 11:47:30.359 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-08-26 11:49:03.525 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-08-26 11:51:53.436 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-08-26 11:51:53.531 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-08-26 12:06:14.209 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
